project,launchDate,updatedDate,kyc,language
Ern,2026-03-03T10:00:00.000Z,2026-03-09T14:22:44.781Z,True,
AGNI,2026-02-18T17:00:00.000Z,2026-02-22T20:23:37.963Z,True,
Royco Dawn,2026-02-17T10:24:00.000Z,2026-02-23T14:34:33.664Z,True,
Kleidi,2026-02-13T19:09:05.000Z,2026-02-19T17:59:51.088Z,True,
Hermetica,2026-02-12T09:27:00.000Z,2026-02-12T11:28:00.385Z,,
Katana,2026-02-11T14:57:23.000Z,2026-02-25T12:59:32.554Z,True,
RootstockLabs,2026-02-10T01:55:00.000Z,2026-02-12T18:48:48.339Z,True,
Veda,2026-01-21T15:00:08.000Z,2026-03-03T16:37:44.758Z,True,
Floe Labs,2026-01-16T14:35:53.000Z,2026-02-10T17:38:28.704Z,True,
Twyne,2026-01-16T14:30:00.000Z,2026-02-22T21:13:45.399Z,,Solidity
Notional Exponent,2026-01-16T14:00:00.000Z,2026-01-29T22:04:38.766Z,True,
Zest Protocol V2,2026-01-15T22:10:00.000Z,2026-02-26T15:58:20.134Z,,Clarity
Exodus,2025-12-30T10:00:00.000Z,2026-01-07T14:16:46.770Z,True,
Bitflow,2025-11-26T04:27:00.000Z,2025-12-08T07:57:57.211Z,,Clarity;NextJS
Aleo,2025-11-24T10:00:00.000Z,2025-11-24T14:01:14.636Z,True,
ZKsync OS,2025-11-24T08:16:26.000Z,2026-01-08T09:22:11.269Z,True,
CapyFi,2025-11-19T10:10:47.000Z,2026-03-08T21:46:55.124Z,True,
USX,2025-11-17T00:00:00.000Z,2026-01-29T22:01:18.373Z,True,Solidity
Bug Bounty Comp | Lido V3,2025-11-12T13:00:00.000Z,2025-12-30T14:10:08.947Z,,Solidity
Audit Comp | Vechain | Stargate Hayabusa,2025-11-10T10:00:00.000Z,2026-01-13T20:47:09.488Z,True,Solidity
Audit Comp | Firelight,2025-11-07T14:00:00.000Z,2025-12-11T16:07:16.795Z,,Solidity
Kiln (dApp/Infra),2025-10-30T00:15:42.000Z,2025-10-30T17:17:14.549Z,True,
Templar Protocol,2025-10-27T19:59:00.000Z,2026-01-29T22:04:11.963Z,True,Rust
Attackathon | XRPL Lending Protocol,2025-10-27T14:00:00.000Z,2026-02-02T12:39:09.893Z,True,C/C++
Jito - BAM Client,2025-10-22T05:09:00.000Z,2025-11-05T07:30:42.563Z,True,Rust
Audit Comp | Belong,2025-10-20T15:00:00.000Z,2026-01-28T15:16:57.675Z,,Cairo;Solidity
Audit Comp | Folks Finance: Wormhole NTT on Algorand,2025-10-16T10:00:00.000Z,2025-11-24T06:57:30.360Z,,Python
Audit Comp | Alchemix V3,2025-10-14T15:00:00.000Z,2026-01-29T16:56:59.233Z,,
Kamino,2025-10-06T12:39:00.000Z,2025-10-16T11:44:05.009Z,True,
Parallel,2025-10-02T12:10:00.000Z,2026-03-04T14:29:02.052Z,True,JavaScript;NextJS;ReactJS;Solidity;Typescript;Go
Felix,2025-10-02T05:00:00.000Z,2025-11-14T12:01:47.195Z,True,
Attackathon | VeChain Hayabusa Upgrade,2025-10-01T13:00:00.000Z,2025-12-04T05:36:02.644Z,True,
